zipcode,count,average_price
7302,8,808499.875
7304,6,594499.8333333334
7305,14,662242.0
7306,9,750777.7777777778
7307,2,674500.0
7310,2,847000.0
10001,2,3937500.0
10002,1,1080000.0
10003,1,1999000.0
10014,2,1217450.0
10016,2,2795000.0
10017,2,817000.0
10019,5,1515800.0
10021,2,1534000.0
10022,3,616666.6666666666
10023,2,1135000.0
10024,2,990000.0
10025,2,852000.0
10027,2,2407499.5
10028,2,725000.0
10034,2,478250.0
10036,2,1207000.0
10038,1,965000.0
10040,1,390000.0
10065,1,695000.0
10128,4,3596249.75
10301,3,929333.3333333334
10302,4,753669.75
10303,1,625000.0
10304,5,775599.8
10305,2,928999.5
10306,6,545649.8333333334
10307,2,1372500.0
10308,1,969000.0
10309,5,1127779.8
10312,6,901966.6666666666
10314,6,878446.0
10451,1,819000.0
10454,1,3800000.0
10456,1,999000.0
10457,1,1199000.0
10459,1,650000.0
10460,3,608333.3333333334
10461,1,779000.0
10462,4,203000.0
10463,4,878750.0
10465,3,574999.6666666666
10466,2,1204999.5
10467,2,889500.0
10468,2,594999.5
10469,2,827499.5
10470,3,874666.6666666666
10471,4,473500.0
10472,1,848000.0
10473,5,471000.0
11101,35,1369809.1714285715
11109,6,1021666.6666666666
11201,4,1500000.0
11203,2,649000.0
11204,1,1699999.0
11205,4,909000.0
11206,1,1350000.0
11207,1,625000.0
11208,4,1049000.0
11209,11,1167454.5454545454
11210,2,1074000.0
11211,4,941500.0
11213,2,1250000.0
11214,4,1737000.0
11215,3,605000.0
11217,3,468333.3333333333
11218,5,972800.0
11219,6,3661666.6666666665
11220,2,1800000.0
11221,4,1591750.0
11222,5,2690000.0
11223,4,1224944.0
11224,4,694500.0
11225,3,674000.0
11228,1,699000.0
11229,5,711180.0
11230,10,817980.0
11232,2,1499000.0
11233,6,1376333.3333333333
11234,3,762000.0
11235,12,1095166.6666666667
11236,3,907666.6666666666
11249,2,5000000.0
19104,1,339000.0
19106,1,265000.0
19111,2,302000.0
19114,1,245000.0
19115,1,440000.0
19116,1,309900.0
19119,1,299000.0
19120,1,218888.0
19123,1,649900.0
19124,2,265000.0
19126,2,362450.0
19128,2,274950.0
19130,1,450000.0
19132,1,84999.0
19133,1,385000.0
19134,1,299900.0
19135,1,200000.0
19138,2,167500.0
19139,1,200000.0
19140,2,72500.0
19143,3,251500.0
19144,1,200000.0
19146,4,309250.0
19147,2,291999.5
19148,1,525000.0
19149,3,237666.66666666666
19154,1,359000.0
32803,3,571333.3333333334
32805,2,254000.0
32806,3,550500.0
32807,1,239900.0
32808,2,282450.0
32814,2,1410000.0
32817,1,399000.0
32818,2,293000.0
32821,2,239999.5
32822,4,211325.0
32824,2,352500.0
32825,3,483296.6666666667
32826,1,337500.0
32827,4,1174849.75
32828,2,416000.0
32829,1,406280.0
32832,1,558900.0
32837,4,522250.0
32839,1,123000.0
33125,3,363333.3333333333
33126,2,252500.0
33127,1,500000.0
33129,4,879725.0
33130,7,558444.4285714285
33131,6,701666.6666666666
33132,11,1244154.5454545454
33133,1,810000.0
33137,11,1222490.9090909092
33138,5,1276200.0
33142,8,726112.5
33143,1,2800000.0
33144,1,960000.0
33145,1,1200000.0
33150,1,161900.0
33155,2,665000.0
33156,2,3364000.0
33157,1,475000.0
33173,2,507500.0
33176,3,671999.6666666666
33177,3,486333.3333333333
33186,1,315000.0
33187,4,542250.0
33196,1,749000.0
33548,1,650000.0
33602,4,1483725.0
33603,5,429220.0
33604,8,342350.0
33605,2,342500.0
33606,5,1634776.0
33607,4,334900.0
33609,3,534966.6666666666
33610,2,522500.0
33611,12,716296.0
33612,4,302225.0
33614,1,269000.0
33616,6,447483.3333333333
33617,2,284800.0
33618,4,368700.0
33629,11,869436.3636363636
33647,8,594243.75
75068,2,747900.0
75201,1,755000.0
75203,1,260000.0
75204,6,711400.0
75205,2,467500.0
75206,6,721300.0
75208,4,542687.5
75209,1,1249000.0
75211,1,100000.0
75212,5,572096.0
75214,5,1241400.0
75215,4,412500.0
75216,6,172465.0
75217,1,275000.0
75219,3,360633.3333333333
75220,1,379900.0
75225,2,772000.0
75227,3,226000.0
75228,3,370819.3333333333
75229,1,1200000.0
75230,2,857500.0
75231,2,982500.0
75232,1,375000.0
75233,2,440000.0
75238,2,924937.5
75241,5,241940.0
75243,2,1395093.5
75244,1,999000.0
75248,4,499962.5
75252,2,822000.0
75253,2,399750.0
75287,1,225000.0
77004,2,197500.0
77005,2,737450.0
77007,1,398500.0
77008,2,484800.0
77011,1,279000.0
77015,1,295000.0
77018,3,669666.6666666666
77020,2,347495.0
77021,1,369000.0
77024,1,129900.0
77026,1,249900.0
77027,1,1549000.0
77028,3,114666.66666666667
77029,1,195000.0
77033,1,65000.0
77035,1,355000.0
77036,2,205000.0
77040,1,375000.0
77041,1,280000.0
77042,2,492000.0
77043,1,485000.0
77044,3,380998.3333333333
77045,1,317700.0
77047,3,713000.0
77048,2,327450.0
77051,1,410000.0
77055,2,422350.0
77056,1,340000.0
77057,3,1831633.3333333333
77062,1,399000.0
77063,1,395000.0
77064,2,275000.0
77066,3,299300.0
77071,1,229900.0
77072,1,295000.0
77073,2,285000.0
77076,1,345000.0
77079,4,967106.5
77082,1,521820.0
77088,1,261900.0
77090,1,825000.0
77091,4,363100.0
77093,1,205000.0
77094,1,365000.0
77095,2,407500.0
77098,1,1600000.0
77099,1,105000.0
77336,2,263945.0
77365,1,286740.0
77396,1,75000.0
77477,1,230000.0
77598,1,285000.0
78702,1,1740000.0
78704,2,654500.0
78705,2,612000.0
78717,1,600000.0
78721,5,588000.0
78722,1,729000.0
78723,3,583333.3333333334
78724,1,112500.0
78725,2,318999.5
78728,1,0.0
78730,1,2500000.0
78731,1,1260000.0
78733,1,715000.0
78737,4,1423622.5
78738,1,0.0
78739,1,949000.0
78742,1,250000.0
78744,5,302971.6
78745,7,569685.7142857143
78746,1,1599950.0
78748,2,424497.5
78749,2,652000.0
78757,2,999999.5
91108,30,5123426.666666667
93660,2,302500.0
94102,8,1481000.0
94103,2,1499500.0
94105,2,5660000.0
94107,10,1669200.0
94108,3,3420000.0
94109,4,3299500.0
94110,6,1529666.6666666667
94111,2,2750000.0
94112,1,1895000.0
94114,5,2908000.0
94115,4,3997500.0
94117,6,2566666.6666666665
94122,4,1547500.0
94124,11,899545.4545454546
94130,3,1938333.3333333333
94131,7,1428428.5714285714
94133,2,1095000.0
94134,1,1399000.0
94158,1,2098888.0
94806,1,485000.0
95060,19,1792883.9473684211
95062,16,1817737.5
95065,6,1416222.0
95110,5,829800.0
95111,6,579300.0
95112,3,1049000.0
95116,5,684400.0
95117,5,1556198.0
95118,2,1393444.0
95120,4,2038972.0
95123,7,1100785.7142857143
95124,4,2129500.0
95125,9,2089765.3333333333
95126,5,1474780.0
95127,2,1339400.0
95128,3,1366258.6666666667
95129,7,1908096.5714285714
95130,1,1699000.0
95131,4,1436987.5
95132,1,1899999.0
95133,1,789000.0
95135,3,724000.0
95136,3,1274258.6666666667
95138,1,1799999.0
95148,1,1199999.0
95307,3,457298.6666666667
95350,5,410777.6
95351,2,182450.0
95354,4,376649.5
95355,6,560641.3333333334
95357,1,1299000.0
95358,1,284999.0
95360,2,384950.0
95361,4,452212.5
95363,4,1257939.5
95368,1,480000.0
95380,2,253450.0
95382,6,434566.6666666667
95476,41,2671925.6097560977
